Name,Slug,Email,Phone,Website,Address,Categories,Relevant Countries,Quality,Sources,Directory URL,JSON URL,Lead Score,Reason,Priority
CleverReach GmbH & Co. KG,cleverreach,info@cleverreach.com,+49 4402 9739000,https://www.cleverreach.com/,"//CRASH Building
Schafjückenweg 2
26180 Rastede
Deutschland","ads, telecommunication",all,verified,"https://www.cleverreach.com/de/datenschutz/, https://www.cleverreach.com/de/impressum/, https://github.com/datenanfragen/data/pull/1600",https://www.datarequests.org/company/cleverreach/,https://www.datarequests.org/db/cleverreach.json,26,"telecom, ads, verified, email, phone, website, global",High
Google LLC,google,data-access-requests@google.com,+1 650 253 0000,https://www.google.com/,"1600 Amphitheatre Pkwy
Mountain View
CA 94043
United States of America","ads, commerce, entertainment, finance, social media, telecommunication",all,verified,"https://policies.google.com/privacy/update, https://www.google.de/contact/impressum.html, https://www.privacyshield.gov/participant?id=a2zt000000001L5AAI, https://www.google.de/intl/en/about/products/, https://github.com/datenanfragen/data/pull/1280, https://github.com/datenanfragen/data/pull/3314",https://www.datarequests.org/company/google/,https://www.datarequests.org/db/google.json,26,"finance, ads, verified, email, phone, website, global",High
Cogora Group Ltd.,cogora,data@cogora.com,+44 20 7214 0500,https://www.cogora.com,"140 London Wall
London, EC2Y 5DN
United Kingdom","ads, health",all,verified,"https://www.cogora.com/privacy-policy/, https://github.com/datenanfragen/data/pull/1349",https://www.datarequests.org/company/cogora/,https://www.datarequests.org/db/cogora.json,26,"health, ads, verified, email, phone, website, global",High
Huawei Technologies Co. Ltd.,huawei,mobile@huawei.com,+86 755 2878 0808,https://www.huawei.com,"Huawei Base
Bantian
Longgang District
Shenzhen
China","commerce, telecommunication, social media",all,verified,"https://www.huawei.com/en/privacy-policy, https://www.huawei.com/en/contact-us, https://www.huawei.com/de/impressum",https://www.datarequests.org/company/huawei/,https://www.datarequests.org/db/huawei.json,26,"telecom, social media, verified, email, phone, website, global",High
TeamSpeak Systems GmbH,teamspeak,privacy@teamspeak.com,+1 877 832 6773,https://teamspeak.com/,"Soiernstraße 1
82494 Krün
Deutschland","telecommunication, social media",all,verified,"https://teamspeak.com/en/privacy-and-terms/, https://github.com/datenanfragen/data/issues/141",https://www.datarequests.org/company/teamspeak/,https://www.datarequests.org/db/teamspeak.json,26,"telecom, social media, verified, email, phone, website, global",High
Aut O’Mattic A8C Ireland Ltd.,automattic,privacypolicyupdates@automattic.com,+1 877 273 3049,https://automattic.com,"Grand Canal Dock, 25 Herbert Pl
Dublin
D02 AY86
Ireland","entertainment, social media, telecommunication",all,verified,"https://automattic.com/privacy/, https://www.tumblr.com/privacy/en_eu",https://www.datarequests.org/company/automattic/,https://www.datarequests.org/db/automattic.json,26,"telecom, social media, verified, email, phone, website, global",High
Patreon Ireland Limited,patreon,privacy@patreon.com,+1 833 972 8766,https://www.patreon.com/,"Suite 3
One Earlsfort Center
Lower Hatch Street
Dublin 2
Ireland","entertainment, finance, social media",all,verified,https://privacy.patreon.com/policies,https://www.datarequests.org/company/patreon/,https://www.datarequests.org/db/patreon.json,26,"finance, social media, verified, email, phone, website, global",High
"Neustar, Inc.",neustar,privacy@team.neustar,+44 1784 448444,https://www.home.neustar/,"c/o Neustar (UK) Ltd./MarketShare Partners EMEA Ltd.
21 Palmer Street
London
SW1H 0AD
United Kingdom","ads, commerce, credit agency, telecommunication",all,verified,"https://www.home.neustar/privacy, https://www.home.neustar/privacy/privacy-policy, https://www.home.neustar/contact-us",https://www.datarequests.org/company/neustar/,https://www.datarequests.org/db/neustar.json,26,"telecom, ads, verified, email, phone, website, global",High
Lindner IT UG (haftungsbeschränkt),lindnerit,legal@lindnerit.io,+49 7931 5636150,https://lindnerit.io,"Holzbronn 12
97999 Igersheim
Deutschland","telecommunication, ads",all,verified,"https://lindnerit.io/de/privacy-policy, https://lindnerit.io/de/legal-details, https://github.com/datenanfragen/data/pull/2308",https://www.datarequests.org/company/lindnerit/,https://www.datarequests.org/db/lindnerit.json,26,"telecom, ads, verified, email, phone, website, global",High
"Zoom Video Communications, Inc.",zoom,privacy@zoom.us,+1 888 799 9666,https://zoom.us/,"55 Almaden Blvd
Suite 600
San Jose
CA 95113
United States of America","social media, telecommunication",all,verified,https://zoom.us/privacy,https://www.datarequests.org/company/zoom/,https://www.datarequests.org/db/zoom.json,26,"telecom, social media, verified, email, phone, website, global",High
Yahoo EMEA Limited,verizon-media,dpo-contact@yahooinc.com,+353 1 866 3100,https://yahoo.com/,"5-7 Point Square
North Wall Quay
Dublin 1
Ireland","ads, entertainment, social media, telecommunication",all,verified,"https://legal.yahoo.com/ie/en/yahoo/privacy/index.html, https://www.yahooinc.com/our-brands/, https://github.com/datenanfragen/data/pull/2162",https://www.datarequests.org/company/verizon-media/,https://www.datarequests.org/db/verizon-media.json,26,"telecom, ads, verified, email, phone, website, global",High
